name_raw,name_family,name_first,title,fraction,period,state
Berger Johann,Berger,Johann,NA,CSP,III,N
Berger Ricarda,Berger,Ricarda,NA,FPÖ,XXVI,W
Bergmann Kurt,Bergmann,Kurt,NA,ÖVP,XV,1
Bergsmann Felix,Bergsmann,Felix,NA,ÖVP,XV,O
"Berl Franz, Dipl.-Ing.",Berl,Franz,Dipl.-Ing.,ÖVP,XIII,N
"Berlakovich Nikolaus, Dipl.-Ing.",Berlakovich,Nikolaus,Dipl.-Ing.,ÖVP,XXV,B
Bernhard Michael,Bernhard,Michael,NA,NEOS-LIF,XXV,W
Bichl Felix,Bichl,Felix,NA,GdP,I,O
Bichler Karl,Bichler,Karl,NA,CSP,I,N
Binder Franz,Binder,Franz,NA,CSP,I,B
Binder Gabriele siehe Binder-Maier Gabriele,Binder,Gabriele,NA,SPÖ,XVIII,N
Binder-Maier Gabriele,Binder-Maier,Gabriele,NA,SPÖ,XVIII,N
Birbaumer Franz,Birbaumer,Franz,NA,CSP,I,N
Bisjak Paul,Bisjak,Paul,NA,SPÖ,V,K
"Bißmann Martha, Dipl.-Ing. (FH)",Bißmann,Martha,Dipl.-Ing. (FH),PILZ,XXVI,St
Blasisker Josef,Blasisker,Josef,NA,F,XXI,T
Blau-Meissner Freda siehe Meissner-Blau Freda,Blau-Meissner,Freda,NA,GRÜNE,XVII,N
Blecha Karl,Blecha,Karl,NA,SPÖ,XII,N
"Bleckmann Magda, Mag. Dr.",Bleckmann,Magda,Mag. Dr.,F,XXII,St
"Blenk Wolfgang, Dr.",Blenk,Wolfgang,Dr.,ÖVP,XII,V
Bleyer Wilhelm,Bleyer,Wilhelm,NA,ÖVP,V,St
"Blimlinger Eva, Mag.",Blimlinger,Eva,Mag.,GRÜNE,XXVII,W
Blöchl Johann,Blöchl,Johann,NA,CSP,IV,O
"Blümel Gernot, Mag., MBA",Blümel,Gernot,"Mag., MBA",ÖVP,XXVII,W
Blümel Johann,Blümel,Johann,NA,SPÖ,V,St
Blünegger Anton,Blünegger,Anton,NA,FPÖ,XVII,T
"Bock Fritz, Dr.",Bock,Fritz,Dr.,ÖVP,VI,W
Böck-Greissau Josef,Böck-Greissau,Josef,NA,ÖVP,VI,N
Bögl Hans,Bögl,Hans,NA,SPÖ,IX,B
"Bogner-Strauß Juliane, Mag. Dr.",Bogner-Strauß,Juliane,Mag. Dr.,ÖVP,XXVI,St
Böhacker Hermann,Böhacker,Hermann,NA,FPÖ,XVIII,S
Böhler Georg,Böhler,Georg,NA,CSP,IV,V
Böhm Franz Xaver,Böhm,Franz Xaver,NA,ÖVP,XXII,S
Böhm Johann,Böhm,Johann,NA,SdP,IV,B
"Böhmdorfer Dieter, Dr.",Böhmdorfer,Dieter,Dr.,F,XXI,N
"Bösch Herbert, Mag.",Bösch,Herbert,Mag.,SPÖ,XIX,V
Bösch Karl,Bösch,Karl,NA,GdP,I,RSM
"Bösch Reinhard Eugen, Dr.",Bösch,Reinhard Eugen,Dr.,F,XXI,V
Boschek Anna,Boschek,Anna,NA,SdP,I,W
Brachmann Hans,Brachmann,Hans,NA,SdP,III,N
"Brader Alfred, Mag. Dr.",Brader,Alfred,Mag. Dr.,ÖVP,XIX,BWV
Brandl Franz,Brandl,Franz,NA,ÖVP,V,O
"Brandstätter Helmut, Dr.",Brandstätter,Helmut,Dr.,NEOS,XXVII,BWV
Brandstätter Jakob,Brandstätter,Jakob,NA,ÖVP,XI,N
Brandstötter Henrike,Brandstötter,Henrike,NA,NEOS,XXVII,BWV
Brandweiner Lukas,Brandweiner,Lukas,NA,ÖVP,XXVI,N
Braun Helmut,Braun,Helmut,NA,SPÖ,XIV,W
"Brauneder Willi, MMag. Dr.",Brauneder,Willi,MMag. Dr.,F,XIX,N
Brauneis Walter,Brauneis,Walter,NA,SPÖ,VIII,O
Bregartner Karl,Bregartner,Karl,NA,SPÖ,XIII,O
Breiteneder Johann,Breiteneder,Johann,NA,ÖVP,X,O
"Breitenfeld-Papházy Sylvia, Dr., MBA siehe Papházy Sylvia, Dr., MBA",Breitenfeld-Papházy,Sylvia,"Dr., MBA",F,XXI,BWV
Brennsteiner Anton,Brennsteiner,Anton,NA,SPÖ,XV,S
Bretschneider Ludwig August,Bretschneider,Ludwig August,NA,SdP,I,N
"Brinek Gertrude, Dr.",Brinek,Gertrude,Dr.,ÖVP,XVII,W
Brinnich Franz,Brinnich,Franz,NA,CSP,I,N
Brix Otmar,Brix,Otmar,NA,SPÖ,XIX,W
"Broda Christian, Dr.",Broda,Christian,Dr.,SPÖ,IX,W
"Broesigke Tassilo, Dr.",Broesigke,Tassilo,Dr.,FPÖ,X,1
"Brosz Dieter, MSc",Brosz,Dieter,MSc,GRÜNE,XXI,N
Broukal Josef,Broukal,Josef,NA,SPÖ,XXII,BWV
"Brückl Hermann, MA",Brückl,Hermann,MA,FPÖ,XXV,O
"Bruckmann Gerhart, Dr.",Bruckmann,Gerhart,Dr.,ÖVP,XVII,2
Brugger Bernd,Brugger,Bernd,NA,F,XXI,T
"Brunner Christiane, Mag.",Brunner,Christiane,Mag.,GRÜNE,XXIV,BWV
Brunner Franz,Brunner,Franz,NA,ÖVP,XII,N
Brunner Karl,Brunner,Karl,NA,ÖVP,V,St
Brunner Wanda,Brunner,Wanda,NA,SPÖ,XV,2
"Brünner Christian, Dr.",Brünner,Christian,Dr.,ÖVP,XVIII,St
"Buchberger Adalbert, Dipl.-Ing. Dr.",Buchberger,Adalbert,Dipl.-Ing. Dr.,WdU,VI,4
Bucher Josef,Bucher,Josef,NA,F,XXII,K
Buchinger Rudolf,Buchinger,Rudolf,NA,CSP,I,N
Buchleitner Johann,Buchleitner,Johann,NA,CSP,IV,N
Buchmayr Harry,Buchmayr,Harry,NA,SPÖ,XXIV,O
Buchner Josef,Buchner,Josef,NA,GRÜNE,XVII,O
Buder Hannelore,Buder,Hannelore,NA,SPÖ,XVIII,St
Bures Doris,Bures,Doris,NA,SPÖ,XVIII,W
"Buresch Karl, Dr.",Buresch,Karl,Dr.,CSP,I,N
Burger Siegmund,Burger,Siegmund,NA,ÖVP,XII,St
Burgmann Rudolf,Burgmann,Rudolf,NA,CSP,IV,B
Burgstaller Alois,Burgstaller,Alois,NA,CSP,I,O
Burgstaller Paul,Burgstaller,Paul,NA,ÖVP,XV,St
Burket Ilse,Burket,Ilse,NA,F,XXI,W
"Bürstmayr Georg, Mag.",Bürstmayr,Georg,Mag.,GRÜNE,XXVII,BWV
"Busek Erhard, Dr.",Busek,Erhard,Dr.,ÖVP,XIV,W
Buttinger Johann,Buttinger,Johann,NA,SPÖ,VIII,O
"Cap Josef, Dr.",Cap,Josef,Dr.,SPÖ,XVI,W
Cerny Theodor,Cerny,Theodor,NA,ÖVP,V,N
Chaloupek Ferdinand,Chaloupek,Ferdinand,NA,SPÖ,IX,N
"Clessin Heinrich, abs. iur.",Clessin,Heinrich,abs. iur.,GdP,I,S
"Cortolezis-Schlager Katharina, Mag.",Cortolezis-Schlager,Katharina,Mag.,ÖVP,XXIV,W
"Cox Stephanie, BA",Cox,Stephanie,BA,PILZ,XXVI,W
Csörgits Renate,Csörgits,Renate,NA,SPÖ,XXI,BWV
Czernetz Karl,Czernetz,Karl,NA,SPÖ,VI,W
Czernin Ottokar,Czernin,Ottokar,NA,OK,I,W
Czerny Anna,Czerny,Anna,NA,SPÖ,IX,N
Czettel Adolf,Czettel,Adolf,NA,SPÖ,XIV,W
Czettel Hans,Czettel,Hans,NA,SPÖ,VII,N
Dallinger Alfred,Dallinger,Alfred,NA,SPÖ,XIII,W
"Danneberg Robert, Dr.",Danneberg,Robert,Dr.,SdP,I,N
"Darabos Norbert, Mag.",Darabos,Norbert,Mag.,SPÖ,XXII,BWV
"Darmann Gernot, Mag.",Darmann,Gernot,Mag.,BZÖ,XXIII,K
"Deckenbacher Romana, Mag.",Deckenbacher,Romana,Mag.,ÖVP,XXVII,W
"Deimek Gerhard, Dipl.-Ing.",Deimek,Gerhard,Dipl.-Ing.,FPÖ,XXIV,O
Dengler Josef,Dengler,Josef,NA,ÖVP,V,N
"Derfler Alois, Ing.",Derfler,Alois,Ing.,ÖVP,XVI,N
"Dernoscheg Karl-Heinz, Dr., MBA",Dernoscheg,Karl-Heinz,"Dr., MBA",ÖVP,XXII,St
Dersch Mathias,Dersch,Mathias,NA,CSP,I,N
Deutsch Josef,Deutsch,Josef,NA,SPÖ,VIII,N
"Deutsch Julius, Dr.",Deutsch,Julius,Dr.,SdP,I,W
Deutschmann Valentin,Deutschmann,Valentin,NA,ÖVP,XI,K
Dewaty Hubert,Dewaty,Hubert,NA,LBd,III,St
Diesner-Wais Martina,Diesner-Wais,Martina,NA,ÖVP,XXV,N
Dietachmayr Helmut,Dietachmayr,Helmut,NA,SPÖ,XVIII,O
Dietrich Dominikus,Dietrich,Dominikus,NA,CSP,I,T
