name_raw,name_family,name_first,title,fraction,period,state
Frisch Anton,Frisch,Anton,NA,ÖVP,V,B
"Frischenschlager Friedhelm, Dr.",Frischenschlager,Friedhelm,Dr.,FPÖ,XIV,S
Fritz Hermann,Fritz,Hermann,NA,ÖVP,X,St
"Frizberg Gilbert, Dr.",Frizberg,Gilbert,Dr.,ÖVP,XVI,St
Frodl Karl,Frodl,Karl,NA,ÖVP,X,St
Frömel Emmerich,Frömel,Emmerich,NA,SPÖ,VI,St
Frühbauer Erwin,Frühbauer,Erwin,NA,SPÖ,X,K
"Frühwirth Josef, Dipl.-Ing. Dr.",Frühwirth,Josef,Dipl.-Ing. Dr.,ÖVP,XIV,W
Frühwirth Michael,Frühwirth,Michael,NA,SdP,IV,N
Fuchs Brunhilde,Fuchs,Brunhilde,NA,SPÖ,XIX,W
"Fuchs Hans Georg, Dipl.-Ing.",Fuchs,Hans Georg,Dipl.-Ing.,ÖVP,XVI,St
"Fuchs Hubert, MMag. DDr.",Fuchs,Hubert,MMag. DDr.,FPÖ,XXV,W
Fuchs Luis,Fuchs,Luis,NA,ÖVP,XVII,K
"Fuhrmann Silvia, Mag. siehe Grünberger Silvia, Mag.",Fuhrmann,Silvia,Mag.,ÖVP,XXII,BWV
"Fuhrmann Willi, Dr.",Fuhrmann,Willi,Dr.,SPÖ,XVII,N
Füller Christian,Füller,Christian,NA,SPÖ,XXIII,St
"Fürlinger Klaus, Mag.",Fürlinger,Klaus,Mag.,ÖVP,XXVI,O
Furreg Lotte,Furreg,Lotte,NA,GdP,I,W
"Fürst Susanne, Dr.",Fürst,Susanne,Dr.,FPÖ,XXVI,BWV
Fux Franz,Fux,Franz,NA,SPÖ,XI,N
Fux Herbert,Fux,Herbert,NA,GRÜNE,XVII,2
Gaál Anton,Gaál,Anton,NA,SPÖ,XVIII,W
Gabriel Josef,Gabriel,Josef,NA,SdP,I,K
Gabriele Franz,Gabriele,Franz,NA,ÖVP,X,W
Gahr Hermann,Gahr,Hermann,NA,ÖVP,XXI,T
"Gaigg Gerfrid, Dr.",Gaigg,Gerfrid,Dr.,ÖVP,XV,O
Gaiswinkler Albrecht,Gaiswinkler,Albrecht,NA,SPÖ,V,St
"Gamon Claudia, MSc (WU)",Gamon,Claudia,MSc (WU),NEOS,XXV,BWV
Gangl Michael,Gangl,Michael,NA,CSP,II,B
Gartelgruber Carmen siehe Schimanek Carmen,Gartelgruber,Carmen,NA,FPÖ,XXIV,T
"Gartlehner Kurt, Ing.",Gartlehner,Kurt,Ing.,SPÖ,XVIII,O
Gärtner Heinz,Gärtner,Heinz,NA,SPÖ,XV,K
"Gaßner Kurt, Mag.",Gaßner,Kurt,Mag.,SPÖ,XX,O
"Gasperschitz Alfred, Dr.",Gasperschitz,Alfred,Dr.,ÖVP,XIII,O
"Gasselich Anton, Dr.",Gasselich,Anton,Dr.,WdU,VI,2
"Gasser Hans, Dipl.-Ing.",Gasser,Hans,Dipl.-Ing.,ÖVP,XVII,K
"Gassner Johann, Ing.",Gassner,Johann,Ing.,ÖVP,XIV,1
Gassner Martin,Gassner,Martin,NA,ÖVP,V,O
Gatterer Edeltraud,Gatterer,Edeltraud,NA,ÖVP,XVIII,K
Gaugg Reinhart,Gaugg,Reinhart,NA,F,XX,K
Gebert Richard,Gebert,Richard,NA,SPÖ,XVIII,N
Gehrer Elisabeth,Gehrer,Elisabeth,NA,ÖVP,XX,BWV
Geiger Leo,Geiger,Leo,NA,SPÖ,VIII,W
"Geischläger Robert, Dr.",Geischläger,Robert,Dr.,ÖVP,XI,W
Geisler Simon,Geisler,Simon,NA,CSP,I,S
"Geißler Hermann, Dr.",Geißler,Hermann,Dr.,ÖVP,VIII,St
Geißlinger Ferdinand,Geißlinger,Ferdinand,NA,ÖVP,V,W
Genner Laurenz,Genner,Laurenz,NA,SdP,IV,N
"Gerstl Wolfgang, Mag.",Gerstl,Wolfgang,Mag.,ÖVP,XXIV,W
Gerstner Peter,Gerstner,Peter,NA,FPÖ,XXVI,N
Geßl Josef,Geßl,Josef,NA,SdP,I,W
Gessl-Ranftl Andrea,Gessl-Ranftl,Andrea,NA,SPÖ,XXIV,St
"Gewessler Leonore, BA",Gewessler,Leonore,BA,GRÜNE,XXVII,O
Geyer Hermann,Geyer,Hermann,NA,CSP,I,N
"Geyer Walter, Mag.",Geyer,Walter,Mag.,GRÜNE,XVII,2
"Gföhler Willibald, Mag.",Gföhler,Willibald,Mag.,GRÜNE,XIX,N
Gföller Karl,Gföller,Karl,NA,SPÖ,V,St
Gföllner Alois,Gföllner,Alois,NA,ÖVP,XV,O
Giegerl Johann,Giegerl,Johann,NA,SPÖ,VI,St
Gierlinger Balthasar,Gierlinger,Balthasar,NA,CSP,II,O
"Gimpl Georg, Dr.",Gimpl,Georg,Dr.,CSP,I,St
Gindler Anton,Gindler,Anton,NA,ÖVP,V,N
"Gisel Alfred, Dr.",Gisel,Alfred,Dr.,SPÖ,XIII,W
Glaser Franz,Glaser,Franz,NA,ÖVP,XXII,B
Glaser Karl,Glaser,Karl,NA,ÖVP,VII,S
"Glawischnig Eva, Dr. siehe Glawischnig-Piesczek Eva, Dr.",Glawischnig,Eva,Dr.,GRÜNE,XXI,W
"Glawischnig-Piesczek Eva, Dr.",Glawischnig-Piesczek,Eva,Dr.,GRÜNE,XXI,W
Glöckel Otto,Glöckel,Otto,NA,SdP,I,W
"Gmoser Rupert, DDr.",Gmoser,Rupert,DDr.,SPÖ,XV,St
"Gödl Ernst, Mag.",Gödl,Ernst,Mag.,ÖVP,XXVI,St
"Gorbach Alfons, Dr.",Gorbach,Alfons,Dr.,ÖVP,V,St
"Gorton Wilhelm, Dipl.-Kfm.",Gorton,Wilhelm,Dipl.-Kfm.,ÖVP,XII,K
Gossi Alois,Gossi,Alois,NA,SPÖ,XV,B
"Götz Alexander, Dipl.-Ing. DDr.",Götz,Alexander,Dipl.-Ing. DDr.,FPÖ,XV,St
"Götze Elisabeth, Dr.",Götze,Elisabeth,Dr.,GRÜNE,XXVII,N
Grabenhofer Gottlieb,Grabenhofer,Gottlieb,NA,LBd,IV,B
Grabher-Meyer Walter,Grabher-Meyer,Walter,NA,FPÖ,XV,2
Grabner Arnold,Grabner,Arnold,NA,SPÖ,XV,N
"Grabner Heinz, Dipl.-Ing.",Grabner,Heinz,Dipl.-Ing.,SPÖ,XVI,St
Gradauer Alois,Gradauer,Alois,NA,FPÖ,XXIII,O
"Gradenegger Johannes, Dr.",Gradenegger,Johannes,Dr.,SPÖ,XIII,K
"Gradinger Rudolf, Ing.",Gradinger,Rudolf,Ing.,ÖVP,XII,B
"Gradischnik Reimar, Dr.",Gradischnik,Reimar,Dr.,SPÖ,XV,K
Gradwohl Heinz,Gradwohl,Heinz,NA,SPÖ,XVIII,St
"Graenitz Ilona, Dipl.-Kfm.",Graenitz,Ilona,Dipl.-Kfm.,SPÖ,XVII,O
Graf Ferdinand,Graf,Ferdinand,NA,ÖVP,VI,K
Graf Florian,Graf,Florian,NA,CSP,IV,St
"Graf Herbert L., Ing.",Graf,Herbert L.,Ing.,F,XXI,BWV
"Graf Martin, Dr. siehe Graf Martin, Mag. Dr.",Graf,Martin,Dr.,F,XIX,W
"Graf Martin, Mag. Dr.",Graf,Martin,Mag. Dr.,F,XIX,W
Graf Robert,Graf,Robert,NA,ÖVP,XI,B
Graf Rudolf,Graf,Rudolf,NA,ÖVP,VIII,N
Graf Tanja,Graf,Tanja,NA,ÖVP,XXVI,S
"Graff Michael, Dr.",Graff,Michael,Dr.,ÖVP,XVI,W
"Grailer Iring, Dr.",Grailer,Iring,Dr.,GdP,II,4
Gram Heribert,Gram,Heribert,NA,ÖVP,IX,N
Grander Maria,Grander,Maria,NA,ÖVP,XXII,T
"Grandits Marijana, Mag.",Grandits,Marijana,Mag.,GRÜNE,XVIII,2
"Gratz Leopold, Mag.",Gratz,Leopold,Mag.,SPÖ,XI,W
Gratzer Bernhard,Gratzer,Bernhard,NA,FPÖ,XVIII,N
Grebien Alois,Grebien,Alois,NA,SPÖ,V,St
Grebien Heike,Grebien,Heike,NA,GRÜNE,XXVII,St
"Gredler Martina, Dr.",Gredler,Martina,Dr.,L,XIX,W
"Gredler Willfried, Dr.",Gredler,Willfried,Dr.,WdU,VII,1
"Greiner Karin, Mag.",Greiner,Karin,Mag.,SPÖ,XXIV,St
Grießner Isidor,Grießner,Isidor,NA,ÖVP,V,S
Grillitsch Fritz,Grillitsch,Fritz,NA,ÖVP,XXII,St
"Griss Irmgard, Dr.",Griss,Irmgard,Dr.,NEOS,XXVI,St
Gritschacher Josef,Gritschacher,Josef,NA,CSP,III,4
Gröger Florian,Gröger,Florian,NA,SdP,I,K
"Groiß Werner, Ing. Mag.",Groiß,Werner,Ing. Mag.,ÖVP,XXV,N
"Grollitsch Udo, Mag. Dr.",Grollitsch,Udo,Mag. Dr.,F,XIX,St
Großbauer Maria,Großbauer,Maria,NA,ÖVP,XXVI,BWV
Größbauer Philipp,Größbauer,Philipp,NA,OK,I,K
Großruck Wolfgang,Großruck,Wolfgang,NA,ÖVP,XIX,O
"Grossmann Elisabeth, Mag.",Grossmann,Elisabeth,Mag.,SPÖ,XXII,St
Grosz Gerald,Grosz,Gerald,NA,BZÖ,XXIV,St
Gruber Alois,Gruber,Alois,NA,WdU,VI,K
Gruber Hermann,Gruber,Hermann,NA,ÖVP,IX,4
Gruber Josef,Gruber,Josef,NA,SdP,I,O
"Gruber Josef, Dr.",Gruber,Josef,Dr.,ÖVP,IX,O
Gruber Karl,Gruber,Karl,NA,ÖVP,VIII,W
"Gruber Karl, Dipl.-Ing. Dr.",Gruber,Karl,Dipl.-Ing. Dr.,ÖVP,V,T
Gruber Michael,Gruber,Michael,NA,CSP,III,N
Gruber Renate,Gruber,Renate,NA,SPÖ,XXVI,N
Gruber Rudolf,Gruber,Rudolf,NA,CSP,I,N
Grubhofer Franz,Grubhofer,Franz,NA,ÖVP,V,V
Grünberg Kira,Grünberg,Kira,NA,ÖVP,XXVI,T
"Grünberger Silvia, Mag.",Grünberger,Silvia,Mag.,ÖVP,XXII,BWV
Grundemann-Falkenberg Ernst,Grundemann-Falkenberg,Ernst,NA,ÖVP,X,O
"Grünewald Kurt, Dr.",Grünewald,Kurt,Dr.,GRÜNE,XXI,BWV
"Grünsteidl Edmund, Dr.",Grünsteidl,Edmund,Dr.,ÖVP,IX,1
"Gschnitzer Franz, Dr.",Gschnitzer,Franz,Dr.,ÖVP,V,T
Gschweidl Rudolf,Gschweidl,Rudolf,NA,SPÖ,V,N
"Gudenus Johann, Mag., M.A.I.S.",Gudenus,Johann,"Mag., M.A.I.S.",FPÖ,XXVI,W
"Gudenus John, Mag.",Gudenus,John,Mag.,FPÖ,XVIII,W
"Gugerbauer Norbert, Dr.",Gugerbauer,Norbert,Dr.,FPÖ,XVI,O
"Guggenberger Leopold, abs. iur.",Guggenberger,Leopold,abs. iur.,ÖVP,XI,K
"Guggenberger Walter, Mag.",Guggenberger,Walter,Mag.,SPÖ,XVI,2
Gumplmayer Hans,Gumplmayer,Hans,NA,SPÖ,V,W
"Gürtler Alfred, Dr.",Gürtler,Alfred,Dr.,CSP,I,St
Gürtler Johann,Gürtler,Johann,NA,CSP,I,O
Gurtner Rudolf,Gurtner,Rudolf,NA,ÖVP,XIV,O
"Gusenbauer Alfred, Dr.",Gusenbauer,Alfred,Dr.,SPÖ,XVIII,N
Gusenbauer-Jäger Marianne,Gusenbauer-Jäger,Marianne,NA,SPÖ,XXV,O
Guth Ernst,Guth,Ernst,NA,ÖVP,VII,B
Haager Christine,Haager,Christine,NA,SPÖ,XVIII,N
Haager Hans,Haager,Hans,NA,ÖVP,V,O
Haas Herbert,Haas,Herbert,NA,SPÖ,XI,N
Haberl Alfred,Haberl,Alfred,NA,SPÖ,VII,St
Haberzettl Wilhelm,Haberzettl,Wilhelm,NA,SPÖ,XXIII,BWV
"Hable Rainer, Dr.",Hable,Rainer,Dr.,NEOS-LIF,XXV,O
Hackenberg Heinrich,Hackenberg,Heinrich,NA,SPÖ,V,W
"Hackl Heinz-Peter, Ing.",Hackl,Heinz-Peter,Ing.,FPÖ,XXIV,O
"Hafenecker Christian, MA",Hafenecker,Christian,MA,FPÖ,XXV,N
"Hafner Hans, Dr.",Hafner,Hans,Dr.,ÖVP,XIV,St
Hafner Josef,Hafner,Josef,NA,SdP,I,O
Hagen Christoph,Hagen,Christoph,NA,BZÖ,XXIV,V
Hagenauer Johann,Hagenauer,Johann,NA,ÖVP,XI,S
Hagenhofer Marianne,Hagenhofer,Marianne,NA,SPÖ,XVIII,O
Hager Hanna,Hager,Hanna,NA,SPÖ,XII,3
"Hager-Hämmerle Doris, Mag.",Hager-Hämmerle,Doris,Mag.,NEOS,XXVI,BWV
Hagleitner Maria,Hagleitner,Maria,NA,SPÖ,IX,T
Hagspiel Ludwig,Hagspiel,Ludwig,NA,ÖVP,XII,V
Hahn Friedrich,Hahn,Friedrich,NA,ÖVP,XIII,W
"Hahn Johannes, Dr.",Hahn,Johannes,Dr.,ÖVP,XXIV,W
"Haiden Günter, Dipl.-Ing.",Haiden,Günter,Dipl.-Ing.,SPÖ,XIV,St
Haider Franz,Haider,Franz,NA,CSP,I,W
"Haider Johann, Dr.",Haider,Johann,Dr.,ÖVP,X,N
"Haider Jörg, Dr.",Haider,Jörg,Dr.,FPÖ,XV,K
"Haider Roman, Mag.",Haider,Roman,Mag.,FPÖ,XXIV,O
Haidlmayr Theresia,Haidlmayr,Theresia,NA,GRÜNE,XIX,BWV
Haigermoser Helmut,Haigermoser,Helmut,NA,FPÖ,XVI,2
"Haimbuchner Manfred, Mag. Dr.",Haimbuchner,Manfred,Mag. Dr.,FPÖ,XXIII,O
Hainzl Josef,Hainzl,Josef,NA,HB,IV,4
Hakel Elisabeth,Hakel,Elisabeth,NA,SPÖ,XXIV,St
"Hakl Karin, Mag.",Hakl,Karin,Mag.,ÖVP,XXI,BWV
"Halder Jakob, Dr.",Halder,Jakob,Dr.,ÖVP,X,T
Haller Anton,Haller,Anton,NA,ÖVP,VIII,3
Haller Edith,Haller,Edith,NA,FPÖ,XVIII,T
"Hamann Sibylle, Mag.",Hamann,Sibylle,Mag.,GRÜNE,XXVII,BWV
Hammer Lukas,Hammer,Lukas,NA,GRÜNE,XXVII,W
"Hammer Michael, Mag.",Hammer,Michael,Mag.,ÖVP,XXIV,O
"Hämmerle Rudolf, Dipl.-Ing.",Hämmerle,Rudolf,Dipl.-Ing.,ÖVP,IX,V
Hammerschmid Josef,Hammerschmid,Josef,NA,SdP,I,W
"Hammerschmid Sonja, Mag. Dr.",Hammerschmid,Sonja,Mag. Dr.,SPÖ,XXVI,N
Hammerstorfer Hans,Hammerstorfer,Hans,NA,SdP,I,RSM
"Hampel Ernst, Dr.",Hampel,Ernst,Dr.,GdP,I,RSM
Handel Max,Handel,Max,NA,ÖVP,V,O
"Hanger Andreas, Mag.",Hanger,Andreas,Mag.,ÖVP,XXV,N
"Hanreich Georg, Dipl.-Ing.",Hanreich,Georg,Dipl.-Ing.,FPÖ,XIII,N
Hans Josef,Hans,Josef,NA,ÖVP,V,N
Hanusch Ferdinand,Hanusch,Ferdinand,NA,SdP,I,St
Hanzlik Hella,Hanzlik,Hella,NA,SPÖ,X,W
Hareter Alexander,Hareter,Alexander,NA,SdP,II,B
Harrich Holda,Harrich,Holda,NA,GRÜNE,XVII,2
"Hartinger-Klein Beate, Mag.",Hartinger-Klein,Beate,Mag.,F,XXI,St
Hartl Leopold,Hartl,Leopold,NA,ÖVP,VIII,W
Hartleb Karl,Hartleb,Karl,NA,LBd,III,St
"Hartmann Eduard, Dipl.-Ing.",Hartmann,Eduard,Dipl.-Ing.,ÖVP,VI,N
Hartmann Josef,Hartmann,Josef,NA,SdP,II,St
Harwalik Adolf,Harwalik,Adolf,NA,ÖVP,VIII,St
"Haselsteiner Hans Peter, Dr.",Haselsteiner,Hans Peter,Dr.,L,XIX,BWV
"Haselwanter Ernst, Dr.",Haselwanter,Ernst,Dr.,SPÖ,IX,3
Hasenauer Bartholomäus,Hasenauer,Bartholomäus,NA,CSP,IV,S
"Hasler Sieghard, Ing.",Hasler,Sieghard,Ing.,SPÖ,XV,K
Hattmannsdorfer Johann,Hattmannsdorfer,Johann,NA,ÖVP,VI,O
Hatzl Johann,Hatzl,Johann,NA,SPÖ,XIV,W
Haubner Peter,Haubner,Peter,NA,ÖVP,XXI,S
Haubner Ursula,Haubner,Ursula,NA,BZÖ,XXIII,BWV
Haueis Alois,Haueis,Alois,NA,CSP,I,T
Haunschmidt Franz,Haunschmidt,Franz,NA,ÖVP,V,O
"Haupt Herbert, Mag.",Haupt,Herbert,Mag.,FPÖ,XVII,2
"Hauser Gerald, Mag.",Hauser,Gerald,Mag.,FPÖ,XXIII,T
Hauser Johann Nepomuk,Hauser,Johann Nepomuk,NA,CSP,I,O
"Hauser Walter, Dr.",Hauser,Walter,Dr.,ÖVP,X,W
"Häuser Rudolf, Ing.",Häuser,Rudolf,Ing.,SPÖ,X,W
"Häuslmayer Ferdinand, Dr.",Häuslmayer,Ferdinand,Dr.,SPÖ,V,O
Hautmann Marie,Hautmann,Marie,NA,SdP,IV,N
"Hawlicek Hilde, Dr.",Hawlicek,Hilde,Dr.,SPÖ,XIV,W
"Hechenberger Josef, Ing.",Hechenberger,Josef,Ing.,ÖVP,XXVII,T
Hechtl Johann,Hechtl,Johann,NA,SPÖ,XXIV,N
Heigl Hans,Heigl,Hans,NA,SPÖ,XV,O
Heigl Johann siehe Heigl Hans,Heigl,Johann,NA,SPÖ,XV,O
Heigl Josef,Heigl,Josef,NA,CSP,I,W
Heindl Christine,Heindl,Christine,NA,GRÜNE,XVIII,1
"Heindl Kurt, Dr.",Heindl,Kurt,Dr.,SPÖ,XIII,W
Heinisch-Hosek Gabriele,Heinisch-Hosek,Gabriele,NA,SPÖ,XXI,N
"Heinl Eduard, Dr. h.c.",Heinl,Eduard,Dr. h.c.,CSP,I,W
Heinz Karl,Heinz,Karl,NA,SdP,IV,W
Heinz Roman,Heinz,Roman,NA,SPÖ,X,V
Heinzinger Walter,Heinzinger,Walter,NA,ÖVP,XV,St
Heinzl Anton,Heinzl,Anton,NA,SPÖ,XX,N
Heiß Regina,Heiß,Regina,NA,ÖVP,XVII,T
Heitzinger Johann,Heitzinger,Johann,NA,CSP,I,N
"Helbich Leopold, Ing.",Helbich,Leopold,Ing.,ÖVP,X,O
Hell Johann,Hell,Johann,NA,SPÖ,XXIII,N
Hellwagner Franz,Hellwagner,Franz,NA,SPÖ,XI,O
Helmer Oskar,Helmer,Oskar,NA,SPÖ,V,2
Herbert Werner,Herbert,Werner,NA,FPÖ,XXIV,N
Herke Hans,Herke,Hans,NA,SPÖ,VIII,K
Hermann Hermann,Hermann,Hermann,NA,SdP,I,V
Herr Julia Elisabeth,Herr,Julia Elisabeth,NA,SPÖ,XXVII,BWV
Herzele Max,Herzele,Max,NA,WdU,VII,4
"Hesele Hans, DDr.",Hesele,Hans,DDr.,SPÖ,XIII,N
Hesoun Josef,Hesoun,Josef,NA,SPÖ,XV,1
Hessl Hermann,Hessl,Hermann,NA,SPÖ,XIII,N
"Hetzenauer Franz, Dr.",Hetzenauer,Franz,Dr.,ÖVP,VIII,T
"Hetzl Gerhard, Mag.",Hetzl,Gerhard,Mag.,F,XXI,St
Heuberger August,Heuberger,August,NA,CSP,II,S
"Hieden Helga, Dr. siehe Hieden-Sommer Helga, Dr.",Hieden,Helga,Dr.,SPÖ,XVI,2
"Hieden-Sommer Helga, Dr.",Hieden-Sommer,Helga,Dr.,SPÖ,XVI,2
Hietl Franz,Hietl,Franz,NA,ÖVP,XII,N
Hillegeist Friedrich,Hillegeist,Friedrich,NA,SPÖ,V,W
"Himmelbauer Eva-Maria, BSc",Himmelbauer,Eva-Maria,BSc,ÖVP,XXIV,N
Hinterleithner Ignaz,Hinterleithner,Ignaz,NA,SPÖ,V,O
Hintermayer Josef,Hintermayer,Josef,NA,FPÖ,XVI,N
Hinterndorfer Fritz,Hinterndorfer,Fritz,NA,ÖVP,V,N
Hintner Hans Stefan,Hintner,Hans Stefan,NA,ÖVP,XXVII,N
Hirsch Ernst,Hirsch,Ernst,NA,CSP,IV,O
Hirscher Josef,Hirscher,Josef,NA,SPÖ,XIII,S
"Hlavac Elisabeth, Dr.",Hlavac,Elisabeth,Dr.,SPÖ,XVII,W
"Höbart Christian, Ing.",Höbart,Christian,Ing.,FPÖ,XXIV,BWV
"Höbinger-Lehrer Liane, Dr.",Höbinger-Lehrer,Liane,Dr.,F,XIX,BWV
"Hobl Hans, Ing.",Hobl,Hans,Ing.,SPÖ,XII,W
Hochmair Fritz,Hochmair,Fritz,NA,SPÖ,XV,O
"Hochsteiner Heinz, Dipl.-Kfm.",Hochsteiner,Heinz,Dipl.-Kfm.,FPÖ,XVIII,2
Hochstetter-Lackner Irene,Hochstetter-Lackner,Irene,NA,SPÖ,XXVI,K
"Höchtl Josef, Mag. Dr.",Höchtl,Josef,Mag. Dr.,ÖVP,XIV,N
Höchtl Leopold,Höchtl,Leopold,NA,CSP,I,N
"Hofeneder Hubert, Dr.",Hofeneder,Hubert,Dr.,ÖVP,VII,W
"Hofer Franz, Dr.",Hofer,Franz,Dr.,CSP,II,O
Hofer Hans,Hofer,Hans,NA,CSP,I,RSM
Hofer Johann,Hofer,Johann,NA,ÖVP,XVI,O
"Hofer Norbert, Ing.",Hofer,Norbert,Ing.,FPÖ,XXIII,BWV
Hoffmann Friedrich,Hoffmann,Friedrich,NA,SPÖ,IX,2
"Hofinger Manfred, Ing.",Hofinger,Manfred,Ing.,ÖVP,XXV,O
Höfinger Johann,Höfinger,Johann,NA,ÖVP,XXIII,N
Hofmann Harald,Hofmann,Harald,NA,SPÖ,XVI,S
"Hofmann Maximilian, Dipl.-Ing.",Hofmann,Maximilian,Dipl.-Ing.,F,XIX,O
Hofstetter Erich,Hofstetter,Erich,NA,SPÖ,X,St
"Hofstetter Karl, Ing.",Hofstetter,Karl,Ing.,ÖVP,X,N
Hohenberg Karl,Hohenberg,Karl,NA,SdP,II,W
Höll Johann,Höll,Johann,NA,SPÖ,XVI,O
Höllerer Anna,Höllerer,Anna,NA,ÖVP,XXII,N
Hollersbacher Josef,Hollersbacher,Josef,NA,CSP,I,St
Holoubek Karl,Holoubek,Karl,NA,SPÖ,VII,W
Holzfeind Edmund,Holzfeind,Edmund,NA,SPÖ,VI,W
"Holzinger Daniela, BA siehe Holzinger-Vogtenhuber Daniela, BA",Holzinger,Daniela,BA,SPÖ,XXV,O
"Holzinger-Vogtenhuber Daniela, BA",Holzinger-Vogtenhuber,Daniela,BA,SPÖ,XXV,O
Hölzl Anton Franz,Hölzl,Anton Franz,NA,SdP,I,W
"Holzleitner Eva Maria, BSc",Holzleitner,Eva Maria,BSc,SPÖ,XXVI,O
Honner Franz,Honner,Franz,NA,KPÖ,V,N
Hopfer Sepp,Hopfer,Sepp,NA,SPÖ,VII,St
Horejs Karl,Horejs,Karl,NA,SPÖ,IX,T
Hörl Franz,Hörl,Franz,NA,ÖVP,XXIII,T
Horn Alfred,Horn,Alfred,NA,SPÖ,V,N
Horn Josef,Horn,Josef,NA,SPÖ,XXI,St
Hornegger Franz,Hornegger,Franz,NA,F,XXI,S
Hornek Erwin,Hornek,Erwin,NA,ÖVP,XXI,N
Horngacher Katharina,Horngacher,Katharina,NA,ÖVP,XX,T
Horr Franz,Horr,Franz,NA,SPÖ,VII,N
Horvatek Norbert,Horvatek,Norbert,NA,SdP,III,St
"Horvath Waltraud, Mag. siehe Schütz Waltraud, Mag.",Horvath,Waltraud,Mag.,SPÖ,XVII,O
Hosch Kaspar,Hosch,Kaspar,NA,CSP,I,St
"Hoscher Dietmar, Mag.",Hoscher,Dietmar,Mag.,SPÖ,XXII,W
"Hosp Maria, Dr.",Hosp,Maria,Dr.,ÖVP,XVI,V
Hostasch Eleonora,Hostasch,Eleonora,NA,SPÖ,XVII,W
Hoyos-Trauttmansdorff Douglas,Hoyos-Trauttmansdorff,Douglas,NA,NEOS,XXVI,BWV
Hradecsni Bettina,Hradecsni,Bettina,NA,GRÜNE,XXIII,N
"Hryntschak Alexander, Dr.",Hryntschak,Alexander,Dr.,CSP,III,1
"Huainigg Franz-Joseph, Dr.",Huainigg,Franz-Joseph,Dr.,ÖVP,XXII,BWV
Huber Alois,Huber,Alois,NA,FPÖ,XVI,K
Huber Anna,Huber,Anna,NA,SPÖ,XVIII,St
Huber Gerhard,Huber,Gerhard,NA,BZÖ,XXIV,T
Huber Hubert,Huber,Hubert,NA,ÖVP,XII,T
"Hubinek Marga, Dr.",Hubinek,Marga,Dr.,ÖVP,XII,W
Hubmann Georg,Hubmann,Georg,NA,SdP,I,K
"Hübner Johannes, Dr.",Hübner,Johannes,Dr.,FPÖ,XXIV,W
Hueber Anton,Hueber,Anton,NA,SdP,I,W
"Hueber Franz, Dr.",Hueber,Franz,Dr.,HB,IV,3
Huemer Alois,Huemer,Alois,NA,ÖVP,VII,O
Huemer Oskar,Huemer,Oskar,NA,WdU,VI,O
Hummer Josef,Hummer,Josef,NA,ÖVP,V,O
Hums Franz,Hums,Franz,NA,SPÖ,XVIII,2
Hundstorfer Rudolf,Hundstorfer,Rudolf,NA,SPÖ,XXV,W
"Hurdes Felix, Dr.",Hurdes,Felix,Dr.,ÖVP,V,W
Hursky Christian,Hursky,Christian,NA,SPÖ,XXIII,W
"Hütl Günther, Dipl.-Ing.",Hütl,Günther,Dipl.-Ing.,ÖVP,XXII,N
"Hutterer Klaus, Dipl.-Ing. Dr.",Hutterer,Klaus,Dipl.-Ing. Dr.,SPÖ,XVII,St
"Ikrath Peter Michael, Mag.",Ikrath,Peter Michael,Mag.,ÖVP,XXII,W
"Illmer Hans, Ing.",Illmer,Hans,Ing.,CSP,II,T
"Iro Jörg, Dr.",Iro,Jörg,Dr.,ÖVP,XIII,O
Irsa Karl,Irsa,Karl,NA,CSP,I,O
"Jachs Johanna, Mag.",Jachs,Johanna,Mag.,ÖVP,XXVI,O
Jäger Inge,Jäger,Inge,NA,SPÖ,XX,O
Janecek Johann,Janecek,Johann,NA,SdP,III,W
Janicki Oskar,Janicki,Oskar,NA,SdP,III,3
Jank Brigitte,Jank,Brigitte,NA,ÖVP,XXV,W
"Jankowitsch Peter, Dr.",Jankowitsch,Peter,Dr.,SPÖ,XVI,W
Jannach Harald,Jannach,Harald,NA,FPÖ,XXIV,BWV
Janschitz Robert,Janschitz,Robert,NA,SPÖ,VII,K
"Jarmer Helene, Mag.",Jarmer,Helene,Mag.,GRÜNE,XXIV,BWV
"Jarolim Johannes, Dr.",Jarolim,Johannes,Dr.,SPÖ,XIX,W
"Jeitler-Cincelli Carmen, Mag., BA",Jeitler-Cincelli,Carmen,"Mag., BA",ÖVP,XXVI,N
"Jenewein Hans-Jörg, MA",Jenewein,Hans-Jörg,MA,FPÖ,XXIV,W
"Jerzabek Anton, Dr.",Jerzabek,Anton,Dr.,CSP,I,W
Jessner Max,Jessner,Max,NA,SPÖ,VIII,St
Jiricek Hans,Jiricek,Hans,NA,SdP,III,W
Jochmann Rosa,Jochmann,Rosa,NA,SPÖ,V,N
Jonas Franz,Jonas,Franz,NA,SPÖ,VII,W
"Josseck Helmuth, Dipl.-Vw.",Josseck,Helmuth,Dipl.-Vw.,FPÖ,XIII,2
Jung Wolfgang,Jung,Wolfgang,NA,F,XIX,W
Jungwirth Hans,Jungwirth,Hans,NA,SPÖ,X,T
Jury Josef,Jury,Josef,NA,BZÖ,XXIV,K
Jutz Michael,Jutz,Michael,NA,CSP,I,V
"Kabas Hilmar, Mag.",Kabas,Hilmar,Mag.,FPÖ,XVI,1
Kabesch Erich,Kabesch,Erich,NA,ÖVP,XI,W
